State: Alabama, Square Miles: 50750, Average Peak Sun Hours: 4.23, Average Wind Speed 100m (m): [4.0 - 5.9], Mean Elevation (ft): 500, Mean Annual Temperature (F): 62.8, Afternoon Humidity (%): 52, Air Density (kg/m^3): 0.012590425995670639
State: New Jersey, Square Miles: 7419, Average Peak Sun Hours: 4.21, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 250, Mean Annual Temperature (F): 52.7, Afternoon Humidity (%): 59, Air Density (kg/m^3): 0.009029685526467823
State: New Mexico, Square Miles: 121365, Average Peak Sun Hours: 6.77, Average Wind Speed 100m (m): [5.0 - 6.9], Mean Elevation (ft): 5700, Mean Annual Temperature (F): 53.4, Afternoon Humidity (%): 29, Air Density (kg/m^3): 0.8664176641253295
State: New York, Square Miles: 47224, Average Peak Sun Hours: 3.79, Average Wind Speed 100m (m): [4.0 - 5.9], Mean Elevation (ft): 1000, Mean Annual Temperature (F): 45.4, Afternoon Humidity (%): 61, Air Density (kg/m^3): 0.007033513255840299
State: North Carolina, Square Miles: 48718, Average Peak Sun Hours: 4.71, Average Wind Speed 100m (m): [4.0 - 5.9], Mean Elevation (ft): 700, Mean Annual Temperature (F): 59.0, Afternoon Humidity (%): 52, Air Density (kg/m^3): 0.0111295626384842
State: North Dakota, Square Miles: 68994, Average Peak Sun Hours: 5.01, Average Wind Speed 100m (m): [6.0 - 7.9], Mean Elevation (ft): 1900, Mean Annual Temperature (F): 40.4, Afternoon Humidity (%): 51, Air Density (kg/m^3): 0.005898632383317646
State: Ohio, Square Miles: 40953, Average Peak Sun Hours: 4.15, Average Wind Speed 100m (m): [6.0 - 7.9], Mean Elevation (ft): 850, Mean Annual Temperature (F): 50.7, Afternoon Humidity (%): 57, Air Density (kg/m^3): 0.008439018791182792
State: Oklahoma, Square Miles: 68679, Average Peak Sun Hours: 5.59, Average Wind Speed 100m (m): [6.0 - 7.9], Mean Elevation (ft): 1300, Mean Annual Temperature (F): 59.6, Afternoon Humidity (%): 48, Air Density (kg/m^3): 0.011349745208452135
State: Oregon, Square Miles: 96003, Average Peak Sun Hours: 4.03, Average Wind Speed 100m (m): [2.0 - 4.9], Mean Elevation (ft): 3300, Mean Annual Temperature (F): 48.4, Afternoon Humidity (%): 59, Air Density (kg/m^3): 0.007800736712445873
State: Pennsylvania, Square Miles: 44820, Average Peak Sun Hours: 3.91, Average Wind Speed 100m (m): [4.0 - 5.9], Mean Elevation (ft): 1100, Mean Annual Temperature (F): 48.8, Afternoon Humidity (%): 54, Air Density (kg/m^3): 0.007909348137415995
State: Rhode Island, Square Miles: 1034, Average Peak Sun Hours: 4.23, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 200, Mean Annual Temperature (F): 50.1, Afternoon Humidity (%): 57, Air Density (kg/m^3): 0.008268828360869056
State: South Carolina, Square Miles: 30111, Average Peak Sun Hours: 5.06, Average Wind Speed 100m (m): [4.0 - 5.9], Mean Elevation (ft): 350, Mean Annual Temperature (F): 62.4, Afternoon Humidity (%): 49, Air Density (kg/m^3): 0.012429308513968338
State: South Dakota, Square Miles: 75898, Average Peak Sun Hours: 5.23, Average Wind Speed 100m (m): [6.0 - 7.9], Mean Elevation (ft): 2200, Mean Annual Temperature (F): 45.2, Afternoon Humidity (%): 53, Air Density (kg/m^3): 0.006984232657381181
State: Tennessee, Square Miles: 41220, Average Peak Sun Hours: 4.45, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 900, Mean Annual Temperature (F): 57.6, Afternoon Humidity (%): 53, Air Density (kg/m^3): 0.010629519763389779
State: Texas, Square Miles: 261914, Average Peak Sun Hours: 4.92, Average Wind Speed 100m (m): [5.0 - 8.9], Mean Elevation (ft): 1700, Mean Annual Temperature (F): 64.8, Afternoon Humidity (%): 49, Air Density (kg/m^3): 0.01342318472277697
State: Utah, Square Miles: 82168, Average Peak Sun Hours: 5.26, Average Wind Speed 100m (m): [2.0 - 4.9], Mean Elevation (ft): 6100, Mean Annual Temperature (F): 48.6, Afternoon Humidity (%): 43, Air Density (kg/m^3): 0.007853407713691982
State: Vermont, Square Miles: 9249, Average Peak Sun Hours: 4.13, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 1000, Mean Annual Temperature (F): 42.9, Afternoon Humidity (%): 58, Air Density (kg/m^3): 0.006444541044972347
State: Virginia, Square Miles: 39598, Average Peak Sun Hours: 4.13, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 950, Mean Annual Temperature (F): 55.1, Afternoon Humidity (%): 52, Air Density (kg/m^3): 0.009784902405256535
State: Washington, Square Miles: 66582, Average Peak Sun Hours: 3.57, Average Wind Speed 100m (m): [2.0 - 4.9], Mean Elevation (ft): 1700, Mean Annual Temperature (F): 48.3, Afternoon Humidity (%): 62, Air Density (kg/m^3): 0.007774636634480932
State: West Virginia, Square Miles: 24087, Average Peak Sun Hours: 3.65, Average Wind Speed 100m (m): [5.0 - 5.9], Mean Elevation (ft): 1500, Mean Annual Temperature (F): 51.8, Afternoon Humidity (%): 59, Air Density (kg/m^3): 0.0087591995853859
State: Wisconsin, Square Miles: 54314, Average Peak Sun Hours: 4.29, Average Wind Speed 100m (m): [6.0 - 7.9], Mean Elevation (ft): 1050, Mean Annual Temperature (F): 43.1, Afternoon Humidity (%): 58, Air Density (kg/m^3): 0.006490001624956482
State: Wyoming, Square Miles: 97105, Average Peak Sun Hours: 6.06, Average Wind Speed 100m (m): [3.0 - 6.9], Mean Elevation (ft): 6700, Mean Annual Temperature (F): 42.0, Afternoon Humidity (%): 43, Air Density (kg/m^3): 0.006241034950572631
